"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"ENGR190F HM","Special Topics in Engineering: Engineering Design & Invention","UG12","Y","01","","FA",2012,"O",2012-10-24,2012-12-21,1.5,8
"ENGR191  HM","Advanced Problems in Engineering","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,60
"ENGR191  HM","Advanced Problems in Engineering","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,2,60
"ENGR191  HM","Advanced Problems in Engineering","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,3,60
"ENGR205  HM","Systems Simulation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,20
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","01","Soc Ancient & Medieval Culture","FA",2012,"C",2012-09-04,2012-12-21,1,0
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","02","Soc Ancient & Medieval Culture","FA",2012,"C",2012-09-04,2012-12-21,1,0
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","03","Poverty, Wealth, Social Change","FA",2012,"C",2012-09-04,2012-12-21,1,0
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","04","Poverty, Wealth, Social Change","FA",2012,"C",2012-09-04,2012-12-21,1,1
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","05","Life, Death, & Meaning","FA",2012,"C",2012-09-04,2012-12-21,1,0
"FHS 010  CM","Freshman Humanities Seminar","UG12","Y","06","Opera and Ballet","FA",2012,"C",2012-09-04,2012-12-21,1,0
